dimension,seed,run_dir,best_epoch,checkpoint_selection,best_val_zeta,best_val_s,best_val_c_plus,best_val_loss,validation_batches,regularization_train_log_equiv,regularization_whole_batch_log_equiv,regularization_total_scaled,regularization_whole_batch_total_scaled,train_log
64,3,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260721_200459_d64_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,26,best_val_zeta,0.24427996824185053,0.06631817823896806,0.26977866888046265,-0.05951458836595217,12,0.006803,0.005470,0.006803,0.005470,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d64_seed3.log
64,4,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260721_201756_d64_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,45,best_val_zeta,0.23660148059328398,0.12228275835514069,0.5243026837706566,-0.10986827065547307,12,0.012411,0.008210,0.012411,0.008210,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d64_seed4.log
128,0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260721_202950_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,41,best_val_zeta,0.21898320068915686,0.0803520434225599,0.36087096979220706,-0.06225455707559983,12,0.018095,0.020977,0.018095,0.020977,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d128_seed0.log
128,0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_123423_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,41,best_val_zeta,0.21898320068915686,0.0803520434225599,0.36087096979220706,-0.06225455707559983,12,0.018095,0.020977,0.018095,0.020977,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d128_seed0.log
128,1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_125225_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,34,best_val_zeta,0.23037578165531158,0.056552461658914886,0.24278591697414717,-0.04996395794053873,12,0.006588,0.005133,0.006588,0.005133,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d128_seed1.log
128,2,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_131045_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,33,best_val_zeta,0.22715388610959053,0.04239570225278536,0.18197988967100778,-0.03552058292552829,12,0.006875,0.005292,0.006875,0.005292,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d128_seed2.log
128,3,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_133702_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,42,best_val_zeta,0.22426998242735863,0.10074536750713985,0.4491734007994334,-0.08236011272917192,12,0.018382,0.017257,0.018382,0.017257,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d128_seed3.log
128,4,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_135711_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,41,best_val_zeta,0.224654171615839,0.157978393137455,0.6983688672383627,-0.11743924083809058,12,0.040526,0.031397,0.040526,0.031397,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d128_seed4.log
256,0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_142503_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,35,best_val_zeta,0.20166975942750773,0.16356983253111443,0.7896055529514948,-0.054500940876702465,12,0.109049,0.105429,0.109049,0.105429,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d256_seed0.log
256,1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_151745_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,32,best_val_zeta,0.23618674029906592,0.09090023813769221,0.3682785667479038,-0.052827013190835714,12,0.038067,0.042715,0.038067,0.042715,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d256_seed1.log
256,2,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_154454_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,24,best_val_zeta,0.24313865726192793,0.05403462719793121,0.2125020350019137,-0.042285239323973656,12,0.011748,0.011149,0.011748,0.011149,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d256_seed2.log
256,3,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_161218_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,31,best_val_zeta,0.22702759255965552,0.06265835634743173,0.26450508646667004,-0.04582407566097876,12,0.016832,0.017198,0.016832,0.017198,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d256_seed3.log
256,4,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_163837_d256_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,33,best_val_zeta,0.21361023684342703,0.0717102747100095,0.3304154649376869,-0.05030287321036061,12,0.021404,0.019390,0.021404,0.019390,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d256_seed4.log
512,0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_170458_d512_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,19,best_val_zeta,0.20512990343074003,0.04550667976339658,0.211385494718949,-0.02455983528246482,12,0.020945,0.021316,0.020945,0.021316,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d512_seed0.log
512,1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260722_174333_d512_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,22,best_val_zeta,0.23040731499592462,0.1230177478864789,0.5214618568619093,-0.07768728025257587,12,0.045319,0.041534,0.045319,0.041534,/home/omo26/Non-Rev-Owen/physionetmi/embedding_dim_seed_sweep/logs/d512_seed1.log
