epoch,train_S_ratio,val_S_ratio
1,0.3758573956166705,0.5129984766244888
2,0.49804731011390685,0.5208135098218918
3,0.5186292886734009,0.545328676700592
4,0.5324247002601623,0.5515245497226715
5,0.5363808393478393,0.5514689385890961
6,0.5385201533635458,0.5554151833057404
7,0.5454331636428833,0.5576974749565125
8,0.5479044159253438,0.5578984916210175
9,0.5512432336807251,0.5589507818222046
10,0.5508525609970093,0.5588958859443665
11,0.5488395690917969,0.5608054995536804
12,0.5489380280176799,0.5196508914232254
13,0.5233970165252686,0.539193332195282
14,0.5411737442016602,0.550370842218399
15,0.5619101802508036,0.5614185631275177
16,0.5744996706644694,0.5597924590110779
17,0.5823142131169637,0.5653303265571594
18,0.5882166345914205,0.5702104866504669
19,0.5956184546152751,0.5674107372760773
20,0.6050901492436727,0.5690578818321228
21,0.6091854691505432,0.5739155113697052
22,0.6181285222371419,0.5604982972145081
23,0.6216481407483418,0.5700945556163788
24,0.6293319582939148,0.568307489156723
25,0.6318980574607849,0.5674861669540405
26,0.6369971632957458,0.5708368122577667
27,0.6415424545605978,0.5672070384025574
28,0.6459757010142009,0.5701141655445099
29,0.6470150828361512,0.5693934261798859
30,0.6484070976575216,0.5691293776035309
31,0.586918427546819,0.5496417582035065
32,0.5923304677009582,0.5389423668384552
33,0.6213814814885458,0.5583860278129578
34,0.6398391564687093,0.5426214039325714
35,0.6442213853200277,0.5578058958053589
36,0.6650632540384929,0.5490531325340271
37,0.6836632490158081,0.5359890758991241
38,0.6714686592419942,0.5437088906764984
39,0.691684889793396,0.5247669816017151
40,0.6946326494216919,0.5358783900737762
41,0.7185964306195577,0.5215219110250473
42,0.7251647273699443,0.5351130962371826
43,0.729879621664683,0.520780086517334
44,0.7281474232673645,0.5205729603767395
45,0.7358667890230814,0.524978443980217
46,0.7456927180290223,0.5246960073709488
47,0.7581892371177673,0.521499902009964
48,0.7674021085103353,0.5215273797512054
49,0.7760370055834452,0.5203708559274673
50,0.7854428132375081,0.5221382081508636
