lambda_start_frac,lambda_block_cca,dimension,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.2,2.0,128,frozen_decoder_rmse_y,5,81.95251007,80.26910542,83.63591472,1.683404648
0.2,2.0,128,frozen_decoder_rmse_mean,5,78.96047058,77.80515035,80.11579081,1.155320231
0.2,2.0,128,frozen_decoder_r2_x,5,0.9097951889,0.9062157824,0.9133745954,0.00357940646
0.2,2.0,128,frozen_decoder_r2_y,5,0.8733656287,0.8698905793,0.8768406782,0.003475049449
0.2,2.0,128,frozen_decoder_r2_mean,5,0.8915804029,0.8894383764,0.8937224293,0.002142026449
0.2,2.0,128,finetuned_decoder_rmse_x,5,69.81269226,68.47516534,71.15021918,1.337526924
0.2,2.0,128,finetuned_decoder_rmse_y,5,75.51663208,74.07615125,76.95711291,1.440480829
0.2,2.0,128,finetuned_decoder_rmse_mean,5,72.72595673,71.91247667,73.53943678,0.8134800544
0.2,2.0,128,finetuned_decoder_r2_x,5,0.9235499024,0.9199568539,0.927142951,0.003593048521
0.2,2.0,128,finetuned_decoder_r2_y,5,0.8924730659,0.8896588618,0.8952872699,0.002814204073
0.2,2.0,128,finetuned_decoder_r2_mean,5,0.9080114961,0.906685938,0.9093370541,0.001325558072
0.2,5.0,128,embedding_val_zeta,5,0.4609809372,0.4483680614,0.473593813,0.01261287577
0.2,5.0,128,mean_val_zeta,5,0.354557389,0.3275894736,0.3815253044,0.02696791541
0.2,5.0,128,embedding_whole_val_regularization_raw,5,0.0355628,0.02518236398,0.04594323602,0.01038043602
0.2,5.0,128,checkpoint_regularization_lambda,5,3.276509,2.154411057,4.398606943,1.122097943
0.2,5.0,128,frozen_decoder_rmse_x,5,73.88005219,72.26188474,75.49821963,1.618167448
0.2,5.0,128,frozen_decoder_rmse_y,5,79.24261017,78.62394062,79.86127971,0.6186695462
0.2,5.0,128,frozen_decoder_rmse_mean,5,76.61279144,76.01465652,77.21092637,0.5981349257
0.2,5.0,128,frozen_decoder_r2_x,5,0.914373517,0.9098383784,0.9189086557,0.004535138623
0.2,5.0,128,frozen_decoder_r2_y,5,0.8815993905,0.8803505489,0.8828482321,0.001248841601
0.2,5.0,128,frozen_decoder_r2_mean,5,0.8979864359,0.8955831343,0.9003897375,0.002403301579
0.2,5.0,128,finetuned_decoder_rmse_x,5,68.76510315,67.16634578,70.36386052,1.598757367
0.2,5.0,128,finetuned_decoder_rmse_y,5,73.51743774,72.46091227,74.57396322,1.056525472
0.2,5.0,128,finetuned_decoder_rmse_mean,5,71.18459015,70.16575241,72.20342789,1.018837741
