baseline_index,config_index,baseline_config,experimental_config,baseline_lambda_start_frac,baseline_lambda_block_cca,lambda_start_frac,lambda_block_cca,metric,n,pair_columns,paired_keys,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value,wins_experimental,wins_baseline,ties
2,4,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=5",1.0,1.0,1.0,5.0,finetuned_decoder_r2_mean,5,seed,0;1;2;3;4,0.9099754214,0.9104949474,0.0005195260048,-0.002525780194,0.003564832203,0.003045306198,0.4736585877,0.6604377731,2,3,0
2,4,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=5",1.0,1.0,1.0,5.0,finetuned_decoder_rmse_mean,5,seed,0;1;2;3;4,71.96986237,71.77194519,-0.1979171753,-1.349653361,0.9538190099,1.151736185,-0.4771111472,0.6581807765,3,2,0
2,5,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",1.0,1.0,1.0,10.0,mean_val_zeta,5,seed,0;1;2;3;4,0.4947603047,0.1488914222,-0.3458688825,-0.358744791,-0.332992974,0.01287590851,-74.58005506,1.937046734e-07,0,5,0
2,5,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",1.0,1.0,1.0,10.0,embedding_val_zeta,5,seed,0;1;2;3;4,0.448143665,0.3847127199,-0.06343094508,-0.0895078303,-0.03735405986,0.02607688522,-6.753587919,0.002506447952,0,5,0
2,5,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",1.0,1.0,1.0,10.0,embedding_whole_val_regularization_raw,5,seed,0;1;2;3;4,0.117497,0.0029276,-0.1145694,-0.1217668895,-0.1073719105,0.007197489535,-44.19536121,1.567341524e-06,0,5,0
2,5,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",1.0,1.0,1.0,10.0,frozen_decoder_r2_mean,5,seed,0;1;2;3;4,0.8950591326,0.8823479891,-0.01271114349,-0.01565207499,-0.009770211998,0.002940931495,-12.00020884,0.0002764097399,0,5,0
2,5,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",1.0,1.0,1.0,10.0,frozen_decoder_rmse_mean,5,seed,0;1;2;3;4,77.71165924,82.32510376,4.613444519,3.511234651,5.715654387,1.102209868,11.62117653,0.0003133364518,5,0,0
2,5,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",1.0,1.0,1.0,10.0,finetuned_decoder_r2_mean,5,seed,0;1;2;3;4,0.9099754214,0.9091437578,-0.0008316636086,-0.001987112458,0.0003237852407,0.001155448849,-1.998416768,0.1163266402,0,5,0
2,5,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",1.0,1.0,1.0,10.0,finetuned_decoder_rmse_mean,5,seed,0;1;2;3;4,71.96986237,72.32418823,0.3543258667,-0.139127754,0.8477794874,0.4934536207,1.993634816,0.1169638019,5,0,0
2,6,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=20",1.0,1.0,1.0,20.0,mean_val_zeta,5,seed,0;1;2;3;4,0.4947603047,0.07130532712,-0.4234549775,-0.4472653307,-0.3996446244,0.02381035312,-49.37765911,1.006567024e-06,0,5,0
2,6,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=20",1.0,1.0,1.0,20.0,embedding_val_zeta,5,seed,0;1;2;3;4,0.448143665,0.2901620222,-0.1579816427,-0.2325245184,-0.08343876708,0.07454287567,-5.884229107,0.004169450788,0,5,0
2,6,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=20",1.0,1.0,1.0,20.0,embedding_whole_val_regularization_raw,5,seed,0;1;2;3;4,0.117497,0.0023664,-0.1151306,-0.122307898,-0.107953302,0.007177297996,-44.53678682,1.519908568e-06,0,5,0
2,6,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=20",1.0,1.0,1.0,20.0,frozen_decoder_r2_mean,5,seed,0;1;2;3;4,0.8950591326,0.8031218171,-0.09193731546,-0.2169124928,0.03303786189,0.1249751774,-2.042476874,0.1106317262,0,5,0
2,6,"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=20",1.0,1.0,1.0,20.0,frozen_decoder_rmse_mean,5,seed,0;1;2;3;4,77.71165924,104.2295303,26.51787109,-3.359897626,56.39563981,29.87776872,2.464220608,0.06937602364,5,0,0
