config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=2",frozen_decoder_r2_mean,5,0.8987229943,0.8910340309,-0.007688963413,-0.02244000792,0.007062081096,0.01475104451,-1.447218522,2,3,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=2",frozen_decoder_rmse_mean,5,76.34406433,79.1260025,2.781938171,-2.637128088,8.201004431,5.419066259,1.425319096,3,2,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=2",finetuned_decoder_r2_mean,5,0.9128082156,0.9102337956,-0.002574419975,-0.009592546172,0.004443706222,0.007018126197,-1.018467827,3,2,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=2",finetuned_decoder_rmse_mean,5,70.84730682,71.84064636,0.9933395386,-1.855872065,3.842551142,2.849211603,0.9679704717,2,3,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=20",mean_val_zeta,5,0.3245419502,0.07130532712,-0.2532366231,-0.27488336,-0.2315898862,0.0216467369,-32.4805344,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=20",embedding_val_zeta,5,0.4672007832,0.2901620222,-0.177038761,-0.2431850872,-0.1108924348,0.06614632617,-7.43107637,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=20",embedding_whole_val_regularization_raw,5,0.013998,0.0023664,-0.0116316,-0.01520494392,-0.008058256083,0.003573343917,-9.037612846,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=20",frozen_decoder_r2_mean,5,0.8987229943,0.8031218171,-0.09560117722,-0.2204178982,0.0292155438,0.124816721,-2.126569408,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=20",frozen_decoder_rmse_mean,5,76.34406433,104.2295303,27.885466,-1.927473033,57.69840504,29.81293904,2.596941734,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=20",finetuned_decoder_r2_mean,5,0.9128082156,0.9050797582,-0.007728457451,-0.01444134874,-0.001015566165,0.006712891285,-3.196482253,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=20",finetuned_decoder_rmse_mean,5,70.84730682,73.88308563,3.035778809,0.462411241,5.609146376,2.573367568,3.275347572,5,0,0,0;1;2;3;4
