lambda_start_frac,lambda_block_cca,dimension,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,10.0,128,finetuned_decoder_r2_x,5,0.9232267022,0.9189720059,0.9274813986,0.004254696362
1.0,10.0,128,finetuned_decoder_r2_y,5,0.8950608015,0.8927883077,0.8973332953,0.00227249379
1.0,10.0,128,finetuned_decoder_r2_mean,5,0.9091437578,0.907028898,0.9112586176,0.002114859794
1.0,2.0,128,embedding_val_zeta,5,0.4304546462,0.3947770161,0.4661322764,0.03567763014
1.0,2.0,128,mean_val_zeta,5,0.3377571821,0.3212664024,0.3542479618,0.01649077968
1.0,2.0,128,embedding_whole_val_regularization_raw,5,0.0315262,0.0267972851,0.0362551149,0.004728914903
1.0,2.0,128,checkpoint_regularization_lambda,5,2,2,2,0
1.0,2.0,128,frozen_decoder_rmse_x,5,76.3832489,70.1316212,82.6348766,6.2516277
1.0,2.0,128,frozen_decoder_rmse_y,5,81.76613922,77.45666465,86.07561379,4.309474572
1.0,2.0,128,frozen_decoder_rmse_mean,5,79.1260025,73.89122988,84.36077512,5.23477262
1.0,2.0,128,frozen_decoder_r2_x,5,0.9083075285,0.8945158925,0.9220991645,0.01379163597
1.0,2.0,128,frozen_decoder_r2_y,5,0.8737605214,0.8604650532,0.8870559897,0.01329546824
1.0,2.0,128,frozen_decoder_r2_mean,5,0.8910340309,0.8775621253,0.9045059365,0.01347190562
1.0,2.0,128,finetuned_decoder_rmse_x,5,69.22070465,65.57821734,72.86319196,3.642487306
1.0,2.0,128,finetuned_decoder_rmse_y,5,74.36174316,71.66045356,77.06303277,2.701289603
1.0,2.0,128,finetuned_decoder_rmse_mean,5,71.84064636,68.74335399,74.93793874,3.097292377
1.0,2.0,128,finetuned_decoder_r2_x,5,0.9247979283,0.9174800659,0.9321157908,0.007317862445
1.0,2.0,128,finetuned_decoder_r2_y,5,0.895669663,0.888215782,0.9031235439,0.007453880963
