epoch,train_loss,val_loss
1,-0.04090114310383797,-0.17108820378780365
2,-0.26297641297181445,-0.36261938015619916
3,-0.42050935328006744,-0.44942336281140643
4,-0.48436374962329865,-0.47932080427805585
5,-0.5093663136164347,-0.4973560671011607
6,-0.5184259712696075,-0.5031769971052805
7,-0.5285983781019846,-0.5097921788692474
8,-0.529193123181661,-0.511644979317983
9,-0.535174697637558,-0.5133967598279318
10,-0.5334184567133585,-0.5136654675006866
11,-0.5367944141228994,-0.5200462838013967
12,-0.5407280226548513,-0.5242490073045095
13,-0.5449850757916769,-0.5259987711906433
14,-0.5491824150085449,-0.5273182888825735
15,-0.5504201551278433,-0.5276863873004913
16,-0.5496177077293396,-0.5256082316239675
17,-0.5506992737452189,-0.525850902001063
18,-0.551193634668986,-0.5287280182043711
19,-0.552160918712616,-0.5294354955355326
20,-0.5531445145606995,-0.5289869010448456
21,-0.551811416943868,-0.5289358496665955
22,-0.5525399545828501,-0.527483602364858
23,-0.5524270832538605,-0.5291658739248911
24,-0.5527174373467764,-0.5297925174236298
25,-0.5535522898038229,-0.5279714167118073
26,-0.5526863932609558,-0.5296864410241445
27,-0.5527039070924123,-0.5291217664877573
28,-0.5520321528116862,-0.5295234421888987
29,-0.5497279465198517,-0.5298018852869669
30,-0.5523364444573721,-0.52979576587677
31,-0.5516079266866049,-0.5296910802523295
32,-0.5551961362361908,-0.5288918117682139
33,-0.5537700057029724,-0.5277397433916727
34,-0.5525028308232626,-0.5267531871795654
35,-0.552193264166514,-0.5267073015371958
36,-0.552085687716802,-0.5269551078478495
37,-0.5533902943134308,-0.5241682032744089
38,-0.5497997999191284,-0.5281594196955363
39,-0.5494396587212881,-0.5275388062000275
40,-0.5564751823743185,-0.5275883972644806
41,-0.5543565452098846,-0.5291956464449564
42,-0.5525729060173035,-0.5291927456855774
43,-0.5494479934374491,-0.5270693997542063
44,-0.5505592425664266,-0.5280965665976206
45,-0.5545472403367361,-0.5267886519432068
46,-0.5518963932991028,-0.5238906542460123
47,-0.5493500928084055,-0.5286343197027842
48,-0.5530538459618887,-0.527308980623881
49,-0.5504243771235148,-0.5279773970444998
50,-0.5532966355482737,-0.5286908745765686
