lambda_start_frac,lambda_block_cca,dimension,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,10.0,128,-1,frozen_decoder_test_accuracy,5,0.5154721601,0.4527932456,0.5781510746,0.06267891447
1.0,10.0,128,-1,frozen_decoder_test_balanced_accuracy,5,0.5154855886,0.4528508087,0.5781203685,0.06263477992
1.0,10.0,128,-1,frozen_decoder_test_macro_f1,5,0.5109144748,0.4525799516,0.5692489979,0.05833452314
1.0,2.0,128,-1,embedding_val_zeta,5,0.2992879714,0.2908582891,0.3077176538,0.008429682328
1.0,2.0,128,-1,embedding_val_mean_plane_zeta,5,0.291154867,0.2835488019,0.2987609321,0.007606065125
1.0,2.0,128,-1,checkpoint_score,5,0.291154867,0.2835488019,0.2987609321,0.007606065125
1.0,2.0,128,-1,validation_zeta,5,0.2992878,0.2908580248,0.3077175752,0.008429775188
1.0,2.0,128,-1,validation_loss,5,-0.2261056,-0.3249602977,-0.1272509023,0.09885469772
1.0,2.0,128,-1,regularization_whole_batch_total_raw,5,0.0149276,0.004417280578,0.02543791942,0.01051031942
1.0,2.0,128,-1,checkpoint_regularization_lambda,5,2,2,2,0
1.0,2.0,128,-1,frozen_decoder_accuracy,5,0.5614155323,0.5341778928,0.5886531717,0.02723763943
1.0,2.0,128,-1,frozen_decoder_balanced_accuracy,5,0.561283724,0.5351550321,0.5874124159,0.02612869189
1.0,2.0,128,-1,frozen_decoder_macro_f1,5,0.5619975691,0.5361347234,0.5878604147,0.02586284561
1.0,2.0,128,-1,frozen_decoder_best_val_acc,5,0.5614155293,0.5341778964,0.5886531621,0.02723763283
1.0,2.0,128,-1,frozen_decoder_best_val_ce,5,1.451157475,1.060155162,1.842159787,0.3910023124
1.0,2.0,128,-1,frozen_decoder_test_accuracy,5,0.4975083341,0.4601996245,0.5348170436,0.03730870954
