epoch,train_loss,val_loss
1,-0.04403066914528608,-0.18001140654087067
2,-0.2737616201241811,-0.38040995597839355
3,-0.4256219168504079,-0.4583155612150828
4,-0.48654978970686596,-0.4901100794474284
5,-0.5131995876630148,-0.5020668705304464
6,-0.5211727122465769,-0.5089579820632935
7,-0.5294146041075388,-0.5119022329648336
8,-0.5298722883065542,-0.5140588482220968
9,-0.535928875207901,-0.5148749252160391
10,-0.5340950191020966,-0.5150609016418457
11,-0.5375808576742808,-0.5205612281958262
12,-0.5407417317231497,-0.5240377684434255
13,-0.5456035633881887,-0.5248918036619822
14,-0.5494087934494019,-0.5275629460811615
15,-0.5507504741350809,-0.528952399889628
16,-0.5502868493398031,-0.5293276309967041
17,-0.5511094629764557,-0.527165432771047
18,-0.5508323411146799,-0.528592179218928
19,-0.5524900853633881,-0.5293654998143514
20,-0.5540630221366882,-0.5293761293093363
21,-0.5518121719360352,-0.5291404326756796
22,-0.5524293184280396,-0.5290928184986115
23,-0.5526200632254282,-0.5293664832909902
24,-0.5524754226207733,-0.5295435090859731
25,-0.5538343588511149,-0.5296605428059896
26,-0.5531571904818217,-0.5295024514198303
27,-0.5530732770760854,-0.5296509464581808
28,-0.5522855619589487,-0.5296505788962046
29,-0.5496872166792551,-0.5296170512835184
30,-0.5522769490877787,-0.5296047230561575
31,-0.5521513621012369,-0.5297899146874746
32,-0.5557181338469187,-0.5293836792310079
33,-0.5544250210126241,-0.527176300684611
34,-0.5518197019894918,-0.5280846953392029
35,-0.5529553492863973,-0.5266812443733215
36,-0.5530736148357391,-0.5272740920384725
37,-0.55498206615448,-0.528286894162496
38,-0.5511473119258881,-0.5282176633675894
39,-0.5504852831363678,-0.5279701054096222
40,-0.5555419822533926,-0.5280625422795614
41,-0.5538146197795868,-0.5280176798502604
42,-0.5515064597129822,-0.5288796424865723
43,-0.550321489572525,-0.5286447008450826
44,-0.5521737734476725,-0.5292950471242269
45,-0.5555626253286997,-0.528173953294754
46,-0.5517297287782034,-0.5287293791770935
47,-0.551026443640391,-0.5282640755176544
48,-0.5531751910845438,-0.526968777179718
49,-0.5510966579119364,-0.5286673406759897
50,-0.5538143813610077,-0.5287586748600006
