odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.75,48,16,128,0.1,10.0,embedding_val_zeta,5,0.4675893399,0.4256559086,0.5095227713,0.04193343134
0.75,48,16,128,0.1,10.0,embedding_whole_val_regularization_raw,5,0.0095126,0.005018493633,0.01400670637,0.004494106367
0.75,48,16,128,0.1,10.0,checkpoint_regularization_lambda,5,5.856376,4.057472262,7.655279738,1.798903738
0.75,48,16,128,0.1,10.0,frozen_decoder_rmse_x,5,75.55438232,74.45690072,76.65186392,1.0974816
0.75,48,16,128,0.1,10.0,frozen_decoder_rmse_y,5,80.72965393,79.3675062,82.09180166,1.362147734
0.75,48,16,128,0.1,10.0,frozen_decoder_rmse_mean,5,78.18906555,77.49123596,78.88689514,0.6978295879
0.75,48,16,128,0.1,10.0,frozen_decoder_r2_x,5,0.9104866147,0.9082255451,0.9127476843,0.002261069645
0.75,48,16,128,0.1,10.0,frozen_decoder_r2_y,5,0.8770478606,0.8707200777,0.8833756436,0.006327782938
0.75,48,16,128,0.1,10.0,frozen_decoder_r2_mean,5,0.8937672377,0.8906119886,0.8969224868,0.003155249109
0.75,48,16,128,0.1,10.0,finetuned_decoder_rmse_x,5,69.20684052,67.96779995,70.44588108,1.239040565
0.75,48,16,128,0.1,10.0,finetuned_decoder_rmse_y,5,74.45461731,73.43619894,75.47303568,1.018418371
0.75,48,16,128,0.1,10.0,finetuned_decoder_rmse_mean,5,71.88306122,71.35211005,72.41401239,0.5309511682
0.75,48,16,128,0.1,10.0,finetuned_decoder_r2_x,5,0.9248682737,0.9213149049,0.9284216425,0.003553368794
0.75,48,16,128,0.1,10.0,finetuned_decoder_r2_y,5,0.8954587698,0.8922107398,0.8987067998,0.003248029996
0.75,48,16,128,0.1,10.0,finetuned_decoder_r2_mean,5,0.9101635337,0.9085737629,0.9117533045,0.001589770826
1.0,64,0,128,0.1,10.0,embedding_val_zeta,5,0.4444205834,0.4340437418,0.4547974249,0.01037684157
1.0,64,0,128,0.1,10.0,embedding_whole_val_regularization_raw,5,0.004718,0.004071563917,0.005364436083,0.0006464360833
1.0,64,0,128,0.1,10.0,checkpoint_regularization_lambda,5,9.118122,8.698523776,9.537720224,0.4195982239
1.0,64,0,128,0.1,10.0,frozen_decoder_rmse_x,5,90.67679443,89.57704064,91.77654823,1.099753795
1.0,64,0,128,0.1,10.0,frozen_decoder_rmse_y,5,97.50272064,96.19694206,98.80849923,1.305778586
1.0,64,0,128,0.1,10.0,frozen_decoder_rmse_mean,5,94.15608826,93.715899,94.59627751,0.440189257
1.0,64,0,128,0.1,10.0,frozen_decoder_r2_x,5,0.871041894,0.8664165888,0.8756671991,0.004625305176
1.0,64,0,128,0.1,10.0,frozen_decoder_r2_y,5,0.8207156897,0.8150655531,0.8263658262,0.005650136575
1.0,64,0,128,0.1,10.0,frozen_decoder_r2_mean,5,0.8458788037,0.844184393,0.8475732144,0.001694410681
1.0,64,0,128,0.1,10.0,finetuned_decoder_rmse_x,5,86.77580719,85.21192424,88.33969014,1.563882952
1.0,64,0,128,0.1,10.0,finetuned_decoder_rmse_y,5,92.89632568,91.98216175,93.81048962,0.9141639315
1.0,64,0,128,0.1,10.0,finetuned_decoder_rmse_mean,5,89.8934494,89.4585785,90.32832031,0.4348709052
1.0,64,0,128,0.1,10.0,finetuned_decoder_r2_x,5,0.8818747401,0.8760644819,0.8876849983,0.00581025821
1.0,64,0,128,0.1,10.0,finetuned_decoder_r2_y,5,0.8372651339,0.83326566,0.8412646077,0.003999473854
1.0,64,0,128,0.1,10.0,finetuned_decoder_r2_mean,5,0.859569943,0.8576958697,0.8614440162,0.001874073281
