config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
odd_plane_fraction=0.25,odd_plane_fraction=0.5,embedding_val_zeta,5,0.4442407191,0.4683750431,0.02413432399,-0.006530344746,0.05479899273,0.03066466874,2.185173637,4,1,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.5,embedding_whole_val_regularization_raw,5,0.0237958,0.015403,-0.0083928,-0.0164100685,-0.000375531499,0.008017268501,-2.906494709,1,4,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.5,frozen_decoder_r2_mean,5,0.8960544825,0.8984918118,0.002437329292,-0.005524255705,0.01039891429,0.007961584997,0.8499703245,3,2,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.5,frozen_decoder_rmse_mean,5,77.33515167,76.43406372,-0.9010879517,-3.791391331,1.989215427,2.890303379,-0.8655912216,2,3,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.5,finetuned_decoder_r2_mean,5,0.9122694612,0.9124561548,0.0001866936684,-0.002967454305,0.003340841641,0.003154147973,0.1643374775,3,2,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.5,finetuned_decoder_rmse_mean,5,71.0197403,70.9900589,-0.02968139648,-1.285583905,1.226221112,1.255902508,-0.06561716968,2,3,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.75,mean_val_zeta,5,0.3315376461,0.232747981,-0.0987896651,-0.1291784976,-0.06840083262,0.03038883248,-9.02581836,0,5,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.75,embedding_val_zeta,5,0.4442407191,0.4675893399,0.02334862087,-0.02514925993,0.07184650166,0.0484978808,1.336680347,3,2,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.75,embedding_whole_val_regularization_raw,5,0.0237958,0.0095126,-0.0142832,-0.0215542903,-0.007012109695,0.007271090305,-5.453999203,0,5,0,0;1;2;3;4
odd_plane_fraction=0.25,odd_plane_fraction=0.75,frozen_decoder_r2_mean,5,0.8960544825,0.8937672377,-0.002287244797,-0.01185062092,0.007276131328,0.009563376125,-0.6640342843,2,3,0,0;1;2;3;4
