baseline_odd_plane_fraction,baseline_antisymmetric_planes,baseline_symmetric_planes,baseline_dimension,baseline_lambda_start_frac,baseline_lambda_block_cca,odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
0.0,0,64,128,0.1,10.0,0.5,32,32,128,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8897231579,0.8984918118,0.00876865387,0.003688518908,0.01384878883,0.005080134962,4.792330577,0.008696734255
0.0,0,64,128,0.1,10.0,0.5,32,32,128,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,68.82897491,68.7025589,-0.1264160156,-1.61591106,1.363079029,1.489495044,-0.2356416888,0.8252838201
0.0,0,64,128,0.1,10.0,0.5,32,32,128,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,73.28605042,73.19939575,-0.08665466309,-1.057320499,0.8840111729,0.970665836,-0.2478627621,0.8164445041
0.0,0,64,128,0.1,10.0,0.5,32,32,128,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,71.0962616,70.9900589,-0.1062026978,-0.9793675942,0.7669621987,0.8731648965,-0.3376979097,0.7525691234
0.0,0,64,128,0.1,10.0,0.5,32,32,128,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9256916523,0.9259362817,0.0002446293831,-0.002947066133,0.003436324899,0.003191695516,0.2128022707,0.8418863483
0.0,0,64,128,0.1,10.0,0.5,32,32,128,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8987375855,0.8989760399,0.0002384543419,-0.002434287471,0.002911196154,0.002672741813,0.2477064516,0.8165573565
0.0,0,64,128,0.1,10.0,0.5,32,32,128,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.9122146249,0.9124561548,0.0002415299416,-0.001838300454,0.002321360337,0.002079830396,0.3224275525,0.7632776911
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.4200669361,0.4675893399,0.0475224038,0.006026269475,0.08901853812,0.04149613432,3.179653902,0.03354630972
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.2896418691,0.232747981,-0.0568938881,-0.07191097391,-0.04187680229,0.01501708581,-10.51886892,0.0004619030753
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.0207278,0.0095126,-0.0112152,-0.01917839618,-0.003252003821,0.007963196179,-3.910287584,0.0173896093
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,checkpoint_regularization_lambda,5,0;1;2;3;4,7.451006,5.856376,-1.59463,-4.514136921,1.324876921,2.919506921,-1.516489865,0.2039873232
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,frozen_decoder_rmse_x,5,0;1;2;3;4,77.30098419,75.55438232,-1.746601868,-3.455618157,-0.03758557797,1.70901629,-2.837506135,0.04698616927
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,frozen_decoder_rmse_y,5,0;1;2;3;4,82.0153595,80.72965393,-1.285705566,-4.638731667,2.067320534,3.3530261,-1.064617698,0.3470470571
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,frozen_decoder_rmse_mean,5,0;1;2;3;4,79.69804535,78.18906555,-1.508979797,-3.964143367,0.9461837723,2.45516357,-1.706444175,0.163118695
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,frozen_decoder_r2_x,5,0;1;2;3;4,0.9062877774,0.9104866147,0.00419883728,3.660581034e-05,0.00836106875,0.00416223147,2.800863263,0.0487686213
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,frozen_decoder_r2_y,5,0;1;2;3;4,0.8731585264,0.8770478606,0.003889334202,-0.006339839749,0.01411850815,0.01022917395,1.055659329,0.3506648247
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8897231579,0.8937672377,0.004044079781,-0.002887070205,0.01097522977,0.006931149985,1.619957083,0.1805560572
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,68.82897491,69.20684052,0.3778656006,-0.3913310173,1.147062219,0.7691966179,1.36392058,0.2442997159
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,73.28605042,74.45461731,1.168566895,-0.6530175269,2.990151316,1.821584421,1.781120763,0.1494889058
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,71.0962616,71.88306122,0.7867996216,-0.1845815069,1.75818075,0.9713811285,2.248865964,0.08775533644
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9256916523,0.9248682737,-0.0008233785629,-0.002491821873,0.000845064747,0.00166844331,-1.370178637,0.242499711
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8987375855,0.8954587698,-0.003278815746,-0.00836149674,0.001803865247,0.005082680994,-1.791072849,0.1477659094
0.0,0,64,128,0.1,10.0,0.75,48,16,128,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.9122146249,0.9101635337,-0.002051091194,-0.004630295741,0.0005281133525,0.002579204547,-2.207945125,0.09183601911
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.4200669361,0.4444205834,0.02435364723,0.01229415394,0.03641314053,0.0120594933,5.606915896,0.004969879816
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.2896418691,0.2114616424,-0.07818022668,-0.09324769318,-0.06311276018,0.0150674665,-14.40607866,0.0001349411749
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.0207278,0.004718,-0.0160098,-0.02229793364,-0.009721666364,0.006288133636,-7.068922739,0.002113050063
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,checkpoint_regularization_lambda,5,0;1;2;3;4,7.451006,9.118122,1.667116,-0.8030992152,4.137331215,2.470215215,1.873786555,0.1342419594
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,frozen_decoder_rmse_x,5,0;1;2;3;4,77.30098419,90.67679443,13.37581024,11.57406814,15.17755234,1.801742099,20.61183056,3.272658169e-05
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,frozen_decoder_rmse_y,5,0;1;2;3;4,82.0153595,97.50272064,15.48736115,12.67583172,18.29889057,2.811529422,15.29409855,0.0001066051452
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,frozen_decoder_rmse_mean,5,0;1;2;3;4,79.69804535,94.15608826,14.45804291,12.90143323,16.01465258,1.556609674,25.78807206,1.343181125e-05
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,frozen_decoder_r2_x,5,0;1;2;3;4,0.9062877774,0.871041894,-0.03524588346,-0.04021256492,-0.03027920201,0.004966681458,-19.70294682,3.913856908e-05
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,frozen_decoder_r2_y,5,0;1;2;3;4,0.8731585264,0.8207156897,-0.05244283676,-0.06219573869,-0.04268993483,0.009752901931,-14.92936753,0.0001172481478
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8897231579,0.8458788037,-0.04384435415,-0.04868229468,-0.03900641363,0.004837940525,-25.16183112,1.481231665e-05
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,68.82897491,86.77580719,17.94683228,15.96001505,19.9336495,1.986817221,25.07950611,1.500673284e-05
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,73.28605042,92.89632568,19.61027527,17.97359295,21.24695759,1.636682319,33.26659801,4.869742281e-06
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,71.0962616,89.8934494,18.79718781,17.93872224,19.65565337,0.8584655667,60.79377216,4.384619448e-07
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9256916523,0.8818747401,-0.04381691217,-0.04919740616,-0.03843641819,0.005380493988,-22.61042417,2.266074358e-05
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8987375855,0.8372651339,-0.06147245169,-0.06717175328,-0.05577315009,0.005699301596,-29.946632,7.405215721e-06
0.0,0,64,128,0.1,10.0,1.0,64,0,128,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.9122146249,0.859569943,-0.05264468193,-0.05503974653,-0.05024961733,0.002395064601,-61.02761043,4.317862384e-07
