config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=128,dimension=64,frozen_decoder_balanced_accuracy,4,0.5844005026,0.5855707179,0.00117021531,-0.02328678109,0.02562721171,0.0244569964,0.1522732934,2,2,0,0;1;2;3
dimension=128,dimension=64,frozen_decoder_test_accuracy,4,0.5384948284,0.5257173449,-0.01277748351,-0.04335450937,0.01779954235,0.03057702586,-1.329876077,1,3,0,0;1;2;3
dimension=128,dimension=64,frozen_decoder_test_balanced_accuracy,4,0.5385026235,0.5256560097,-0.01284661384,-0.0432656293,0.01757240161,0.03041901545,-1.344016502,1,3,0,0;1;2;3
dimension=256,dimension=512,embedding_val_zeta,4,0.2663107208,0.2446753457,-0.02163537512,-0.02755057304,-0.0157201772,0.005915197921,-11.6400872,0,4,0,0;1;2;3
dimension=256,dimension=512,embedding_val_mean_plane_zeta,4,0.2617498554,0.2500706533,-0.01167920205,-0.01299483754,-0.01036356656,0.001315635489,-28.25131561,0,4,0,0;1;2;3
dimension=256,dimension=512,embedding_val_s,4,0.0158609224,0.01467962881,-0.001181293595,-0.002562667111,0.0002000799215,0.001381373516,-2.721496678,0,4,0,0;1;2;3
dimension=256,dimension=512,embedding_val_c_plus,4,0.05616049109,0.0551923852,-0.0009681058915,-0.005527196858,0.003590985075,0.004559090966,-0.6757805536,2,2,0,0;1;2;3
dimension=256,dimension=512,validation_zeta,4,0.26631075,0.2446755,-0.02163525,-0.02755010198,-0.01572039802,0.005914851984,-11.64070067,0,4,0,0;1;2;3
dimension=256,dimension=512,validation_c_plus,4,0.05616075,0.05519225,-0.0009685,-0.005527660903,0.003590660903,0.004559160903,-0.6760452882,2,2,0,0;1;2;3
dimension=256,dimension=512,regularization_whole_batch_total_raw,4,0.000305,0.0004645,0.0001595,0.000122013268,0.000196986732,3.748673195e-05,13.54079588,4,0,0,0;1;2;3
dimension=256,dimension=512,frozen_decoder_accuracy,4,0.5823214937,0.5820256585,-0.0002958352105,-0.0115844082,0.01099273778,0.01128857299,-0.08340112376,2,1,1,0;1;2;3
dimension=256,dimension=512,frozen_decoder_balanced_accuracy,4,0.5819991888,0.5822320218,0.0002328330456,-0.0111091103,0.01157477639,0.01134194335,0.06533083821,3,1,0,0;1;2;3
dimension=256,dimension=512,frozen_decoder_test_accuracy,4,0.5258535293,0.5221916724,-0.003661856894,-0.05288482769,0.0455611139,0.0492229708,-0.2367525315,1,3,0,0;1;2;3
dimension=256,dimension=512,frozen_decoder_test_balanced_accuracy,4,0.5258787574,0.5221823962,-0.003696361255,-0.05297850622,0.04558578372,0.04928214497,-0.2386964128,1,3,0,0;1;2;3
dimension=256,dimension=64,embedding_val_zeta,4,0.2663107208,0.2814081152,0.01509739432,-0.006587731626,0.03678252027,0.02168512595,2.215649883,4,0,0,0;1;2;3
dimension=256,dimension=64,embedding_val_mean_plane_zeta,4,0.2617498554,0.2728517428,0.01110188743,0.009099764231,0.01310401063,0.002002123197,17.64684645,4,0,0,0;1;2;3
dimension=256,dimension=64,embedding_val_s,4,0.0158609224,0.01876596536,0.002905042958,-0.005825988718,0.01163607464,0.008731031677,1.058883254,2,2,0,0;1;2;3
dimension=256,dimension=64,embedding_val_c_plus,4,0.05616049109,0.06350542984,0.007344938748,-0.01992676201,0.03461663951,0.02727170076,0.857110944,2,2,0,0;1;2;3
