baseline_dimension,baseline_lambda_start_frac,baseline_lambda_block_cca,dimension,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
128,0.1,10.0,32,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,68.5473465,71.49369812,2.946351624,1.707468547,4.1852347,1.238883077,6.603031147,0.002726008252
128,0.1,10.0,32,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,73.06969452,76.18654938,3.116854858,1.854685663,4.379024054,1.262169196,6.85627287,0.002369123288
128,0.1,10.0,32,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,70.84730682,73.87935791,3.032051086,1.801997645,4.262104528,1.230053442,6.843868008,0.002385211575
128,0.1,10.0,32,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9262846112,0.9198227048,-0.006461906433,-0.009180927369,-0.003742885497,0.002719020936,-6.598378206,0.002733163456
128,0.1,10.0,32,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.89933182,0.8905278563,-0.008803963661,-0.01249447256,-0.005113454761,0.0036905089,-6.6234014,0.002694953502
128,0.1,10.0,32,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.9128082156,0.9051752806,-0.007632935047,-0.01080780743,-0.004458062665,0.003174872382,-6.675047876,0.002618148951
128,0.1,10.0,64,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.4672007832,0.4866351902,0.01943440702,-0.01073012832,0.04959894236,0.03016453534,1.78880807,0.1481561389
128,0.1,10.0,64,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.3245419502,0.3613257825,0.0367838323,-0.01525514965,0.08882281425,0.05203898195,1.962534379,0.1212019577
128,0.1,10.0,64,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.013998,0.0067872,-0.0072108,-0.01169526257,-0.002726337435,0.004484462565,-4.464390119,0.01112261145
128,0.1,10.0,64,0.1,10.0,checkpoint_regularization_lambda,5,0;1;2;3;4,7.451008,6.689934,-0.761074,-2.485742146,0.9635941456,1.724668146,-1.225209724,0.287706915
128,0.1,10.0,64,0.1,10.0,frozen_decoder_rmse_x,5,0;1;2;3;4,73.69447632,76.80110626,3.106629944,-1.037401337,7.250661225,4.144031281,2.081400191,0.1058551114
