dimension,seed,lambda_start_frac,lambda_block_cca,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,mean_val_zeta,embedding_whole_val_regularization_raw,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_rmse_x,frozen_decoder_rmse_y,frozen_decoder_rmse_mean,frozen_decoder_r2_x,frozen_decoder_r2_y,frozen_decoder_r2_mean,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_rmse_x,finetuned_decoder_rmse_y,finetuned_decoder_rmse_mean,finetuned_decoder_r2_x,finetuned_decoder_r2_y,finetuned_decoder_r2_mean
128,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_225350_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,115,best_val_mean_plane_zeta,0.788591,7.885910000000001,0.48144664367039997,0.3507287502,0.013571,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_225350_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.17872619628906,78.8679428100586,76.07735443115234,0.9187014102935791,0.884033203125,0.9013673067092896,hidden,512,67.6749038696289,73.67708587646484,70.740478515625,0.9304705858230591,0.8987960815429688,0.9146333336830139
128,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_225951_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,130,best_val_mean_plane_zeta,0.879195,8.79195,0.4534906976752811,0.2972289026,0.010533,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_225951_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.85215759277344,77.732666015625,76.30665588378906,0.9117923974990845,0.8849233388900757,0.8983578681945801,hidden,512,69.91448211669922,72.77495574951172,71.35982513427734,0.9230458736419678,0.8991341590881348,0.9110900163650513
128,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_230550_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,78,best_val_mean_plane_zeta,0.565101,5.651009999999999,0.45650579863124424,0.3165923953,0.018938,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_230550_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.6064682006836,78.08680725097656,75.8803482055664,0.9143801331520081,0.8829224109649658,0.8986512422561646,hidden,512,67.18880462646484,72.21347045898438,69.74700927734375,0.9286594390869141,0.8998721837997437,0.9142658114433289
128,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_231149_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,106,best_val_mean_plane_zeta,0.734228,7.34228,0.48170556955867344,0.3503691852,0.015080,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_231149_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.472900390625,79.96305847167969,76.78746795654297,0.9140205383300781,0.8822277784347534,0.8981241583824158,hidden,512,69.0720443725586,73.68173217773438,71.4147720336914,0.9240120053291321,0.9000037312507629,0.9120078682899475
128,4,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_070922_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,110,best_val_mean_plane_zeta,0.758389,7.58389,0.4628552065955268,0.3077905178,0.011868,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d128_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_070922_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.36212921142578,79.83666229248047,76.66849517822266,0.9152044057846069,0.8790243864059448,0.8971143960952759,hidden,512,68.8864974975586,73.00122833251953,70.97444915771484,0.9252351522445679,0.8988529443740845,0.9120440483093262
256,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_071252_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,149,best_val_mean_plane_zeta,0.993960,9.939599999999999,0.42273641957177055,0.3048564196,0.015093,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_071252_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,81.27935028076172,83.5535659790039,82.42533111572266,0.8997063040733337,0.8698444962501526,0.8847754001617432,hidden,512,72.18726348876953,76.42115020751953,74.33564758300781,0.9208894968032837,0.8911170959472656,0.9060032963752747
256,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_071655_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,129,best_val_mean_plane_zeta,0.873154,8.731539999999999,0.4504682289229499,0.2863032222,0.015130,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_071655_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.12642669677734,77.97107696533203,76.07353973388672,0.9134945273399353,0.8842163681983948,0.898855447769165,hidden,512,68.57402801513672,72.49880981445312,70.56441497802734,0.9259684681892395,0.8998981714248657,0.912933349609375
256,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072057_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,90,best_val_mean_plane_zeta,0.637584,6.37584,0.4621208475695716,0.2935575843,0.020614,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072057_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,72.12220764160156,78.82408142089844,75.5483169555664,0.9177983403205872,0.8807011842727661,0.899249792098999,hidden,512,66.32621002197266,72.31749725341797,69.38722229003906,0.9304794669151306,0.8995835185050964,0.9150314927101135
256,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072501_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,148,best_val_mean_plane_zeta,0.987919,9.87919,0.44678224126497906,0.27560848,0.013746,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072501_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,71.8568344116211,80.12125396728516,76.1020736694336,0.9177612662315369,0.8817613124847412,0.8997613191604614,hidden,512,67.04489135742188,74.00395202636719,70.61101531982422,0.928406834602356,0.8991272449493408,0.9137670397758484
256,4,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072903_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,129,best_val_mean_plane_zeta,0.873154,8.731539999999999,0.469763007428911,0.3136422634,0.016442,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d256_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072903_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.73436737060547,77.62433624267578,75.70503234863281,0.9143417477607727,0.8856361508369446,0.8999889492988586,hidden,512,67.05232238769531,71.33683013916016,69.22840881347656,0.9291635155677795,0.9034125804901123,0.9162880182266235
