epoch,train_S_ratio,val_S_ratio
1,0.3863123344257474,0.5141395628452301
2,0.49596134622891747,0.5269387513399124
3,0.5175826231638591,0.5439619719982147
4,0.5323269923528036,0.5521701276302338
5,0.5368036230405172,0.5521491467952728
6,0.5396522879600525,0.55577552318573
7,0.5463859558105468,0.559429943561554
8,0.5491953253746032,0.5592547953128815
9,0.5522704879442851,0.5604813694953918
10,0.5522029002507528,0.5604355037212372
11,0.5494493325551351,0.5633840560913086
12,0.5517323017120361,0.4870753139257431
13,0.5200905640920003,0.5434444546699524
14,0.5415637016296386,0.5520221590995789
15,0.5612034400304159,0.5628406405448914
16,0.5734174052874247,0.5579257011413574
17,0.5816371083259583,0.5677290558815002
18,0.5881919781366984,0.5697108209133148
19,0.5970671455065409,0.5654495060443878
20,0.6065671245257059,0.566888153553009
21,0.6105718890825907,0.5708459615707397
22,0.6198948303858439,0.5540666878223419
23,0.6223678906758626,0.564060777425766
24,0.631151282787323,0.5630608201026917
25,0.6335444927215577,0.5594737827777863
26,0.6395752271016438,0.564972311258316
27,0.6442458669344584,0.5606972277164459
28,0.6492655316988627,0.5636062324047089
29,0.6501058220863343,0.5627650618553162
30,0.6519951462745667,0.5624919831752777
31,0.5904139041900635,0.5277689397335052
32,0.5936876694361369,0.5257275402545929
33,0.6349851409594218,0.5522797703742981
34,0.6507585644721985,0.5394012033939362
35,0.6574040253957113,0.5502978563308716
36,0.6786472360293071,0.529630035161972
37,0.6918487389882405,0.4963763505220413
38,0.6782836119333903,0.5221548974514008
39,0.7084384163220724,0.5164582133293152
40,0.7043994983037313,0.5093614906072617
41,0.7252149820327759,0.5109315514564514
42,0.7378037055333455,0.5149891227483749
43,0.7422297676404317,0.49852874875068665
44,0.7354579528172811,0.5038248300552368
45,0.7380840897560119,0.5030524283647537
46,0.7499689936637879,0.4971798062324524
47,0.770321273803711,0.500883474946022
48,0.7790789286295573,0.4985587149858475
49,0.7858823935190836,0.49711932241916656
50,0.7968840559323629,0.4983360469341278
