Using run: /home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072903_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4
Using checkpoint: /home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_072903_d256_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/checkpoints/best.pt
Embedder initialization: pretrained
Loaded checkpoint from epoch 129
Loading MC Maze data and computing neural windows...
Trials: train=1722 val=573  channels=137  input_window=150 bins  target_window=90 bins  context=30 bins/side
Loading hand velocity and building future targets...
Target: hand_vel +100 ms (10 bins), units=stored NWB values
Valid future samples: 206,550/206,550
Computing pretrained-init frozen hidden features on cuda for feature statistics...
Decoder samples: train=154,980 val=51,570  features=d512
Training pretrained-init frozen-embedding MLP baseline...
MLP epoch   1/200  train mse(z)=0.3255  val mse(z)=0.1466
MLP epoch   2/200  train mse(z)=0.1541  val mse(z)=0.1278
MLP epoch   3/200  train mse(z)=0.1368  val mse(z)=0.1204
MLP epoch   4/200  train mse(z)=0.1281  val mse(z)=0.1147
MLP epoch   5/200  train mse(z)=0.1226  val mse(z)=0.1115
MLP epoch   6/200  train mse(z)=0.1194  val mse(z)=0.1097
MLP epoch   7/200  train mse(z)=0.1162  val mse(z)=0.1082
MLP epoch   8/200  train mse(z)=0.1138  val mse(z)=0.1067
MLP epoch   9/200  train mse(z)=0.1125  val mse(z)=0.1052
MLP epoch  10/200  train mse(z)=0.1112  val mse(z)=0.1056
MLP epoch  11/200  train mse(z)=0.1096  val mse(z)=0.1037
MLP epoch  12/200  train mse(z)=0.1091  val mse(z)=0.1046
MLP epoch  13/200  train mse(z)=0.1078  val mse(z)=0.1029
MLP epoch  14/200  train mse(z)=0.1067  val mse(z)=0.1016
MLP epoch  15/200  train mse(z)=0.1055  val mse(z)=0.1019
MLP epoch  16/200  train mse(z)=0.1040  val mse(z)=0.1011
MLP epoch  17/200  train mse(z)=0.1038  val mse(z)=0.1033
MLP epoch  18/200  train mse(z)=0.1029  val mse(z)=0.1022
MLP epoch  19/200  train mse(z)=0.1021  val mse(z)=0.1012
MLP epoch  20/200  train mse(z)=0.1017  val mse(z)=0.1022
MLP epoch  21/200  train mse(z)=0.1008  val mse(z)=0.0999
MLP epoch  22/200  train mse(z)=0.1004  val mse(z)=0.1001
MLP epoch  23/200  train mse(z)=0.0998  val mse(z)=0.1016
MLP epoch  24/200  train mse(z)=0.0998  val mse(z)=0.1013
MLP epoch  25/200  train mse(z)=0.0988  val mse(z)=0.1019
MLP epoch  26/200  train mse(z)=0.0983  val mse(z)=0.0996
MLP epoch  27/200  train mse(z)=0.0980  val mse(z)=0.1012
MLP epoch  28/200  train mse(z)=0.0983  val mse(z)=0.0993
MLP epoch  29/200  train mse(z)=0.0968  val mse(z)=0.1021
MLP epoch  30/200  train mse(z)=0.0968  val mse(z)=0.1007
MLP epoch  31/200  train mse(z)=0.0962  val mse(z)=0.1021
MLP epoch  32/200  train mse(z)=0.0960  val mse(z)=0.1004
MLP epoch  33/200  train mse(z)=0.0963  val mse(z)=0.1009
MLP epoch  34/200  train mse(z)=0.0952  val mse(z)=0.0994
MLP epoch  35/200  train mse(z)=0.0947  val mse(z)=0.1004
