config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=16,dimension=32,best_val_zeta,5,0.4177196642,0.4618989812,0.04417931702,-0.01081033248,0.09916896653,0.0549896495,2.230627938,4,1,0,0;1;2;3;4
dimension=16,dimension=32,mean_val_zeta,5,0.3837741554,0.3755454361,-0.00822871924,-0.08711608393,0.07065864545,0.07888736469,-0.2896102227,3,2,0,0;1;2;3;4
dimension=16,dimension=32,best_val_s,5,0.5769555913,0.5160427901,-0.06091280116,-0.1475645185,0.02573891616,0.08665171732,-1.951733374,1,4,0,0;1;2;3;4
dimension=16,dimension=32,best_val_c_plus,5,1.389047265,1.127473161,-0.2615741041,-0.5074514118,-0.01569679636,0.2458773077,-2.953693237,1,4,0,0;1;2;3;4
dimension=16,dimension=32,regularization_whole_batch_total_raw,5,0.0055648,0.0156804,0.0101156,0.002820298906,0.01741090109,0.007295301094,3.849794237,5,0,0,0;1;2;3;4
dimension=16,dimension=512,best_val_zeta,5,0.4177196642,0.4620149003,0.04429523614,0.003545264902,0.08504520737,0.04074997124,3.017997015,4,1,0,0;1;2;3;4
dimension=16,dimension=512,mean_val_zeta,5,0.3837741554,0.5102752686,0.1265011132,0.03935011557,0.2136521108,0.08715099761,4.03005595,5,0,0,0;1;2;3;4
dimension=16,dimension=512,best_val_s,5,0.5769555913,0.841709182,0.2647535907,0.1355027351,0.3940044463,0.1292508556,5.687187195,5,0,0,0;1;2;3;4
dimension=16,dimension=512,best_val_c_plus,5,1.389047265,1.822334592,0.4332873265,0.08481225467,0.7817623983,0.3484750718,3.452179436,5,0,0,0;1;2;3;4
dimension=16,dimension=512,regularization_whole_batch_total_raw,5,0.0055648,0.1851584,0.1795936,0.1620892607,0.1970979393,0.01750433932,28.48618062,5,0,0,0;1;2;3;4
dimension=16,dimension=64,best_val_zeta,5,0.4177196642,0.4811995003,0.06347983612,0.02154126198,0.1054184103,0.04193857414,4.202533918,5,0,0,0;1;2;3;4
dimension=16,dimension=64,mean_val_zeta,5,0.3837741554,0.391027093,0.00725293758,-0.07358207428,0.08808794944,0.08083501186,0.2491170914,3,2,0,0;1;2;3;4
dimension=16,dimension=64,best_val_s,5,0.5769555913,0.5207676537,-0.05618793766,-0.1541269818,0.04175110653,0.09793904419,-1.592855288,1,4,0,0;1;2;3;4
dimension=16,dimension=64,best_val_c_plus,5,1.389047265,1.08352803,-0.3055192351,-0.5741995681,-0.03683890216,0.268680333,-3.157124958,0,5,0,0;1;2;3;4
dimension=16,dimension=64,regularization_whole_batch_total_raw,5,0.0055648,0.0213126,0.0157478,7.541277899e-05,0.03142018722,0.01567238722,2.789804872,5,0,0,0;1;2;3;4
dimension=256,dimension=32,best_val_zeta,5,0.4607758674,0.4618989812,0.001123113765,-0.04396429568,0.04621052321,0.04508740945,0.06916040981,2,3,0,0;1;2;3;4
dimension=256,dimension=32,mean_val_zeta,5,0.5062118173,0.3755454361,-0.1306663811,-0.1620533465,-0.09927941576,0.03138696538,-11.55855719,0,5,0,0;1;2;3;4
dimension=256,dimension=32,best_val_s,5,0.8434886018,0.5160427901,-0.3274458117,-0.3770061711,-0.2778854523,0.0495603594,-18.34400178,0,5,0,0;1;2;3;4
dimension=256,dimension=32,best_val_c_plus,5,1.831209381,1.127473161,-0.7037362205,-0.9071242119,-0.5003482291,0.2033879914,-9.606688041,0,5,0,0;1;2;3;4
dimension=256,dimension=32,regularization_whole_batch_total_raw,5,0.1928742,0.0156804,-0.1771938,-0.1946287141,-0.1597588859,0.01743491408,-28.21745244,0,5,0,0;1;2;3;4
dimension=256,dimension=512,best_val_zeta,5,0.4607758674,0.4620149003,0.001239032878,-0.01079893249,0.01327699824,0.01203796537,0.2857714459,2,3,0,0;1;2;3;4
