dimension,seed,run_dir,best_epoch,checkpoint_selection,best_val_zeta,best_val_s,best_val_c_plus,best_val_loss,validation_batches,regularization_train_log_equiv,regularization_whole_batch_log_equiv,regularization_total_scaled,regularization_whole_batch_total_scaled,train_log
256,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_154658_d256_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,37,best_val_zeta,0.43114500244458515,0.854720930258433,1.9824975861443415,-0.6855659418635898,9,0.169155,0.161573,0.169155,0.161573,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d256_seed4.log
512,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_154752_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,39,best_val_zeta,0.4330141974820031,0.8690223164028592,2.0073677831225925,-0.7017264564832052,9,0.167296,0.157588,0.167296,0.157588,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed0.log
512,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_154930_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,39,best_val_zeta,0.4151252706845601,0.8621073762575785,2.076763868331909,-0.6903547114796109,9,0.171752,0.164016,0.171752,0.164016,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed1.log
512,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_155107_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,52,best_val_zeta,0.42286214894718593,0.8833355440033807,2.0889738665686712,-0.7261129551463656,9,0.157222,0.149215,0.157222,0.149215,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed2.log
512,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_155245_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,41,best_val_zeta,0.4175419741206699,0.8777506417698331,2.1022420989142523,-0.7110093898243375,9,0.166741,0.157244,0.166741,0.157244,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed3.log
512,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_155422_d512_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,36,best_val_zeta,0.42586030893855625,0.8658356865247091,2.0331884490119085,-0.6909434861607022,9,0.174892,0.167210,0.174892,0.167210,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d512_seed4.log
16,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160118_d16_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,16,best_val_zeta,0.40038036306699115,0.8315543267461989,2.077210267384847,-0.8043862515025668,9,0.027168,0.018402,0.027168,0.018402,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d16_seed0.log
16,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160137_d16_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,20,best_val_zeta,0.40373627675904167,0.8516741063859727,2.1098415851593018,-0.8296873304578993,9,0.021987,0.016239,0.021987,0.016239,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d16_seed1.log
16,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160155_d16_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,10,best_val_zeta,0.4207840363184611,0.7789108753204346,1.8518008126152887,-0.7522427042325338,9,0.026668,0.018389,0.026668,0.018389,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d16_seed2.log
16,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160214_d16_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,15,best_val_zeta,0.43662858340475297,0.8290418916278415,1.900599757830302,-0.7926458385255601,9,0.036396,0.030934,0.036396,0.030934,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d16_seed3.log
16,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160233_d16_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,21,best_val_zeta,0.411135733127594,0.8494919207361009,2.0665454069773355,-0.8266962766647339,9,0.022796,0.018914,0.022796,0.018914,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d16_seed4.log
32,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160251_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,20,best_val_zeta,0.43917734755410087,0.8357483016120063,1.90342198477851,-0.7687741849157546,9,0.066974,0.058691,0.066974,0.058691,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed0.log
32,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160312_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,50,best_val_zeta,0.5080330967903137,0.857146163781484,1.6877066294352214,-0.8122308982743157,9,0.044915,0.036591,0.044915,0.036591,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed1.log
32,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160333_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,95,best_val_zeta,0.41929089029630023,0.870113280084398,2.0756727854410806,-0.8358060783810086,9,0.034307,0.028227,0.034307,0.028227,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed2.log
32,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_160430_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,15,best_val_zeta,0.5071111487017738,0.8190478417608473,1.6158263285954793,-0.75440647204717,9,0.064641,0.056343,0.064641,0.056343,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed3.log
