embedding_dim,seed,run_name,output_dir,model,embedder_init,feature_layer,feature_dim,mse_x,mse_y,rmse_x,rmse_y,rmse_mean,r2_x,r2_y,r2_mean,corr_x,corr_y,best_val_mse_z
64,1,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed1_100ms,finetuned_mlp,pretrained,output,64,5008.04638671875,5611.04150390625,70.7675552368164,74.9068832397461,72.86767578125,0.9227551817893982,0.8934027552604675,0.9080789685249329,0.9606684290039548,0.9452851623901465,0.09137205945120917
64,1,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed1_100ms,frozen_mlp,pretrained,output,64,6183.53466796875,7046.74755859375,78.63545227050781,83.94490814208984,81.33447265625,0.9046242833137512,0.8661275506019592,0.8853759169578552,0.951424113637849,0.9306699582297558,0.11391307413578033
64,2,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed2_100ms_hidden,finetuned_mlp,pretrained,hidden,256,5245.751953125,5798.10693359375,72.42756652832031,76.14530181884766,74.31085968017578,0.9190887808799744,0.8898489475250244,0.9044688940048218,0.9587392123430052,0.9436013265790029,0.09497333400779301
64,2,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed2_100ms_hidden,frozen_mlp,pretrained,hidden,256,6087.974609375,6891.95751953125,78.02547454833984,83.01781463623047,80.56082153320312,0.9060982465744019,0.8690682053565979,0.8875832557678223,0.95190524758229,0.9324274556481155,0.11172109097242355
64,2,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed2_100ms,finetuned_mlp,pretrained,output,64,4951.35205078125,5667.51953125,70.3658447265625,75.28292846679688,72.86682891845703,0.923629641532898,0.8923298120498657,0.9079797267913818,0.9613435838507965,0.9446708183056329,0.0914723782075776
64,2,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed2_100ms,frozen_mlp,pretrained,output,64,6200.04345703125,7043.62744140625,78.7403564453125,83.92632293701172,81.3754653930664,0.9043697118759155,0.866186797618866,0.8852782249450684,0.9515056143288391,0.9307149908416876,0.11401107907295227
64,3,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed3_100ms_hidden,finetuned_mlp,pretrained,hidden,256,5168.35009765625,5773.23193359375,71.8912353515625,75.9817886352539,73.96592712402344,0.9202826619148254,0.8903214931488037,0.9053020477294922,0.9595624058341724,0.9436063619108435,0.09413885159624948
64,3,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed3_100ms_hidden,frozen_mlp,pretrained,hidden,256,5957.623046875,6990.005859375,77.18563842773438,83.60625457763672,80.46065521240234,0.9081088304519653,0.8672055006027222,0.8876571655273438,0.952957989562687,0.9312667025863903,0.11163241416215897
64,3,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed3_100ms,finetuned_mlp,pretrained,output,64,4960.8779296875,5662.88818359375,70.43350219726562,75.25216674804688,72.88349914550781,0.9234827160835266,0.8924177885055542,0.9079502820968628,0.9613302466675167,0.9447778778596436,0.09148517416583167
64,3,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed3_100ms,frozen_mlp,pretrained,output,64,6181.3154296875,6991.791015625,78.62134552001953,83.61692810058594,81.1584701538086,0.9046585559844971,0.867171585559845,0.8859150409698486,0.9513323355647035,0.9314517449388815,0.11338036507368088
