baseline_lambda_start_frac,baseline_lambda_block_cca,baseline_dimension,lambda_start_frac,lambda_block_cca,dimension,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
1.0,0.5,128,1.0,2.0,128,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8937961817,0.8973203897,0.003524208069,0.001033036256,0.006015379882,0.002491171813,3.927778161,0.01713502901
1.0,0.5,128,1.0,2.0,128,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.908440721,0.9116021752,0.003161454201,0.0009194500345,0.005403458367,0.002242004166,3.915070352,0.01731954634
1.0,0.5,128,1.0,20.0,128,embedding_val_zeta,5,0;1;2;3;4,0.4510677682,0.3124912626,-0.1385765056,-0.1572365596,-0.1199164516,0.01866005397,-20.61891467,3.268197812e-05
1.0,0.5,128,1.0,20.0,128,mean_val_zeta,5,0;1;2;3;4,0.4929746389,0.07630797625,-0.4166666627,-0.4355145364,-0.397818789,0.01884787374,-61.37838846,4.22008485e-07
1.0,0.5,128,1.0,20.0,128,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.2543978,0.0026362,-0.2517616,-0.276095355,-0.227427845,0.02433375499,-28.72562259,8.741235281e-06
1.0,0.5,128,1.0,20.0,128,checkpoint_regularization_lambda,5,0;1;2;3;4,0.5,20,19.5,19.5,19.5,0,inf,0
1.0,0.5,128,1.0,20.0,128,frozen_decoder_rmse_x,5,0;1;2;3;4,75.45834045,89.81634674,14.35800629,13.71487277,15.00113981,0.6431335204,61.98435475,4.057604454e-07
1.0,0.5,128,1.0,20.0,128,frozen_decoder_rmse_y,5,0;1;2;3;4,81.87742615,97.18669128,15.30926514,11.41252593,19.20600435,3.896739211,10.90792377,0.0004010815737
1.0,0.5,128,1.0,20.0,128,frozen_decoder_rmse_mean,5,0;1;2;3;4,78.73738251,93.57944031,14.8420578,12.83833277,16.84578283,2.003725033,20.56577527,3.301841899e-05
1.0,0.5,128,1.0,20.0,128,frozen_decoder_r2_x,5,0;1;2;3;4,0.9107011437,0.8734847307,-0.03721641302,-0.0392929692,-0.03513985685,0.002076556175,-49.75994822,9.76029976e-07
1.0,0.5,128,1.0,20.0,128,frozen_decoder_r2_y,5,0;1;2;3;4,0.8735342145,0.8217811108,-0.05175310373,-0.06532320015,-0.03818300732,0.01357009642,-10.58869791,0.0004501832635
1.0,0.5,128,1.0,20.0,128,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8921176672,0.8476329088,-0.04448475838,-0.05175936727,-0.03721014949,0.007274608888,-16.9781622,7.056845455e-05
1.0,0.5,128,1.0,20.0,128,finetuned_decoder_rmse_x,5,0;1;2;3;4,70.01808472,70.74753418,0.7294494629,-0.8236822586,2.282581184,1.553131721,1.303995252,0.2622128465
