lambda_start_frac,lambda_block_cca,dimension,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,20.0,128,frozen_decoder_rmse_mean,5,93.57944031,91.54105706,95.61782355,2.038383244
1.0,20.0,128,frozen_decoder_r2_x,5,0.8734847307,0.868791819,0.8781776424,0.004692911672
1.0,20.0,128,frozen_decoder_r2_y,5,0.8217811108,0.8096619893,0.8339002323,0.01211912151
1.0,20.0,128,frozen_decoder_r2_mean,5,0.8476329088,0.8393291444,0.8559366732,0.008303764373
1.0,20.0,128,finetuned_decoder_rmse_x,5,70.74753418,68.8914453,72.60362306,1.856088884
1.0,20.0,128,finetuned_decoder_rmse_y,5,75.46699982,74.23445918,76.69954046,1.232540642
1.0,20.0,128,finetuned_decoder_rmse_mean,5,73.14963379,71.89562962,74.40363796,1.25400417
1.0,20.0,128,finetuned_decoder_r2_x,5,0.9214631557,0.9164239781,0.9265023334,0.005039177641
1.0,20.0,128,finetuned_decoder_r2_y,5,0.8926081061,0.8897572586,0.8954589537,0.002850847579
1.0,20.0,128,finetuned_decoder_r2_mean,5,0.9070356369,0.9039034805,0.9101677933,0.003132156371
1.0,5.0,128,embedding_val_zeta,5,0.4525419785,0.4374127309,0.4676712261,0.01512924763
1.0,5.0,128,mean_val_zeta,5,0.2327926904,0.2061291221,0.2594562587,0.02666356832
1.0,5.0,128,embedding_whole_val_regularization_raw,5,0.0070274,0.006599629543,0.007455170457,0.0004277704573
1.0,5.0,128,checkpoint_regularization_lambda,5,5,5,5,0
1.0,5.0,128,frozen_decoder_rmse_x,5,79.80123444,78.23522303,81.36724584,1.566011407
1.0,5.0,128,frozen_decoder_rmse_y,5,84.6123764,83.74927074,85.47548206,0.8631056593
1.0,5.0,128,frozen_decoder_rmse_mean,5,82.24646912,81.57988835,82.91304988,0.6665807626
1.0,5.0,128,frozen_decoder_r2_x,5,0.9001449466,0.89726457,0.9030253231,0.00288037656
1.0,5.0,128,frozen_decoder_r2_y,5,0.8649868608,0.8610761642,0.8688975573,0.003910696513
1.0,5.0,128,frozen_decoder_r2_mean,5,0.8825659037,0.8801228962,0.8850089112,0.002443007493
1.0,5.0,128,finetuned_decoder_rmse_x,5,69.62112427,68.47143883,70.7708097,1.149685437
1.0,5.0,128,finetuned_decoder_rmse_y,5,74.52249756,72.99742861,76.04756651,1.525068951
1.0,5.0,128,finetuned_decoder_rmse_mean,5,72.11755066,71.14953274,73.08556858,0.9680179214
1.0,5.0,128,finetuned_decoder_r2_x,5,0.9239775777,0.9209591046,0.9269960508,0.003018473079
1.0,5.0,128,finetuned_decoder_r2_y,5,0.8952894688,0.8926362032,0.8979427344,0.002653265613
1.0,5.0,128,finetuned_decoder_r2_mean,5,0.9096335173,0.9072855374,0.9119814972,0.002347979889
