lambda_start_frac,lambda_block_cca,seed,dimension,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,mean_val_zeta,embedding_whole_val_regularization_raw,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_rmse_x,frozen_decoder_rmse_y,frozen_decoder_rmse_mean,frozen_decoder_r2_x,frozen_decoder_r2_y,frozen_decoder_r2_mean,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_rmse_x,finetuned_decoder_rmse_y,finetuned_decoder_rmse_mean,finetuned_decoder_r2_x,finetuned_decoder_r2_y,finetuned_decoder_r2_mean
1.0,0.5,0,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_105635_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s0,47,best_val_zeta,1.000000,0.5,0.43975433707237244,0.47863027453422546,0.262781,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_105635_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,76.00086212158203,82.68563842773438,79.41445922851562,0.9123099446296692,0.8725345134735107,0.8924221992492676,hidden,512,69.72818756103516,76.22225952148438,73.04817199707031,0.9261875152587891,0.8916831016540527,0.9089353084564209
1.0,0.5,1,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_110003_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s1,46,best_val_zeta,1.000000,0.5,0.4477815065119002,0.5010024905204773,0.262316,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_110003_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,77.26737213134766,82.01512145996094,79.67719268798828,0.906008243560791,0.8718944191932678,0.888951301574707,hidden,512,72.60999298095703,74.94676208496094,73.78852081298828,0.9169976711273193,0.8930240869522095,0.9050108790397644
1.0,0.5,2,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_110331_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s2,40,best_val_zeta,1.000000,0.5,0.4552658001581828,0.49648356437683105,0.269811,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_110331_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.18394470214844,82.14894104003906,78.2685317993164,0.9130313992500305,0.8704246878623962,0.8917280435562134,hidden,512,68.14584350585938,74.92615509033203,71.6169204711914,0.9266126155853271,0.8922083377838135,0.9094104766845703
1.0,0.5,3,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_110747_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s3,84,best_val_zeta,1.000000,0.5,0.4639194707075755,0.4993738532066345,0.220543,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_110747_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,75.21234130859375,79.98628997802734,77.63680267333984,0.9099013209342957,0.8821593523025513,0.8960303068161011,hidden,512,69.1256103515625,74.2863540649414,71.75328826904297,0.9238941073417664,0.8983559012413025,0.9111250042915344
1.0,0.5,4,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_111114_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s4,43,best_val_zeta,1.000000,0.5,0.44861772656440735,0.4893830120563507,0.256538,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca0p5_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_111114_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca0.5_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.62718200683594,82.55113983154297,78.68992614746094,0.912254810333252,0.8706580996513367,0.8914564847946167,hidden,512,70.48078918457031,74.83431243896484,72.69092559814453,0.9217343926429749,0.8937094807624817,0.9077219367027283
1.0,2.0,0,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_111444_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0,39,best_val_zeta,1.000000,2.0,0.4504137535889943,0.27415692806243896,0.028153,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_111444_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,79.2688217163086,85.00506591796875,82.18758392333984,0.9046066403388977,0.8652830719947815,0.8849448561668396,hidden,512,69.99346160888672,75.29890441894531,72.69536590576172,0.9256247878074646,0.8942915201187134,0.9099581241607666
1.0,2.0,1,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_111819_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,36,best_val_zeta,1.000000,2.0,0.45441901683807373,0.2619369626045227,0.030225,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_111819_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,83.00740051269531,87.35831451416016,85.2115249633789,0.8915246725082397,0.854658842086792,0.8730917572975159,hidden,512,72.01820373535156,74.22056579589844,73.1283950805664,0.9183451533317566,0.8950871229171753,0.9067161083221436
1.0,2.0,2,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_112429_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2,74,best_val_zeta,1.000000,2.0,0.4837387932671441,0.33428990840911865,0.033203,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_112429_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,72.32438659667969,79.80331420898438,76.1564712524414,0.9173368215560913,0.8777186870574951,0.8975277543067932,hidden,512,66.99080657958984,72.43314361572266,69.76580047607422,0.9290792942047119,0.8992620706558228,0.9141706824302673
1.0,2.0,3,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_113052_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3,125,best_val_zeta,1.000000,2.0,0.43233498599794173,0.33080241084098816,0.034992,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_113052_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,72.8244857788086,79.7552490234375,76.3692398071289,0.9155314564704895,0.8828391432762146,0.899185299873352,hidden,512,67.55435180664062,73.18122100830078,70.42473602294922,0.9273146390914917,0.9013576507568359,0.9143361449241638
1.0,2.0,4,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_113653_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4,52,best_val_zeta,1.000000,2.0,0.45926565594143337,0.3275681734085083,0.034559,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_sweep_constant_lambda_emb_zeta/logs/lsf1p0_lcca2p0_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260731_113653_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.12841796875,79.93606567382812,76.6087646484375,0.9157438278198242,0.8787229657173157,0.8972333669662476,hidden,512,67.10317993164062,73.8084716796875,70.53643035888672,0.9290560483932495,0.8966035842895508,0.9128298163414001
