config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
lambda_block_cca=10,lambda_block_cca=2,embedding_whole_val_regularization_raw,5,0.0029762,0.0322264,0.0292502,0.02560364936,0.03289675064,0.003646550637,22.27079306,5,0,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=2,frozen_decoder_r2_mean,5,0.880483675,0.8903966069,0.009912931919,-0.001392201726,0.02121806556,0.01130513365,2.434532149,4,1,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=2,frozen_decoder_rmse_mean,5,82.97514496,79.30671692,-3.66842804,-7.72024269,0.3833866105,4.05181465,-2.513735191,1,4,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=2,finetuned_decoder_r2_mean,5,0.909151721,0.9116021752,0.002450454235,0.0001379280308,0.004762980439,0.002312526204,2.942043058,5,0,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=2,finetuned_decoder_rmse_mean,5,72.31233215,71.31014557,-1.002186584,-1.944734077,-0.05963909194,0.9425474925,-2.9521229,0,5,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=20,mean_val_zeta,5,0.1470285743,0.07630797625,-0.0707205981,-0.08553931377,-0.05590188243,0.01481871567,-13.25026155,0,5,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=20,embedding_val_zeta,5,0.3856608914,0.3124912626,-0.07316962878,-0.1050793793,-0.0412598783,0.03190975048,-6.366438302,0,5,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=20,embedding_whole_val_regularization_raw,5,0.0029762,0.0026362,-0.00034,-0.0009050587628,0.0002250587628,0.0005650587628,-1.670607374,1,4,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=20,frozen_decoder_r2_mean,5,0.880483675,0.8476329088,-0.03285076618,-0.03961833034,-0.02608320202,0.006767564163,-13.47727879,0,5,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=20,frozen_decoder_rmse_mean,5,82.97514496,93.57944031,10.60429535,8.562655337,12.64593536,2.041640012,14.42087917,5,0,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=20,finetuned_decoder_r2_mean,5,0.909151721,0.9070356369,-0.002116084099,-0.00388398583,-0.0003481823678,0.001767901731,-3.323256737,0,5,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=20,finetuned_decoder_rmse_mean,5,72.31233215,73.14963379,0.8373016357,0.1097062816,1.56489699,0.7275953541,3.195075415,5,0,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=5,mean_val_zeta,5,0.1470285743,0.2327926904,0.08576411605,0.05038692394,0.1211413082,0.03537719211,6.730872237,5,0,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=5,embedding_val_zeta,5,0.3856608914,0.4525419785,0.06688108709,0.03484071707,0.09892145711,0.03204037002,5.795553135,5,0,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=5,embedding_whole_val_regularization_raw,5,0.0029762,0.0070274,0.0040512,0.003256819608,0.004845580392,0.0007943803922,14.15938072,5,0,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=5,frozen_decoder_r2_mean,5,0.880483675,0.8825659037,0.002082228661,-0.001084455155,0.005248912476,0.003166683815,1.825630189,3,2,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=5,frozen_decoder_rmse_mean,5,82.97514496,82.24646912,-0.7286758423,-1.780941463,0.3235897788,1.052265621,-1.922640477,2,3,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=5,finetuned_decoder_r2_mean,5,0.909151721,0.9096335173,0.0004817962646,-0.0008982731107,0.00186186564,0.001380069375,0.9692852436,3,2,0,0;1;2;3;4
lambda_block_cca=10,lambda_block_cca=5,finetuned_decoder_rmse_mean,5,72.31233215,72.11755066,-0.1947814941,-0.7050085006,0.3154455124,0.5102270065,-1.059920622,2,3,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=20,mean_val_zeta,5,0.3057508767,0.07630797625,-0.2294429004,-0.2717788967,-0.1871069042,0.04233599623,-15.04713895,0,5,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=20,embedding_val_zeta,5,0.4560344411,0.3124912626,-0.1435431785,-0.1707781402,-0.1163082168,0.02723496169,-14.63338777,0,5,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=20,embedding_whole_val_regularization_raw,5,0.0322264,0.0026362,-0.0295902,-0.03315837794,-0.02602202206,0.003568177935,-23.02451488,0,5,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=20,frozen_decoder_r2_mean,5,0.8903966069,0.8476329088,-0.0427636981,-0.05503541599,-0.03049198021,0.01227171789,-9.675178434,0,5,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=20,frozen_decoder_rmse_mean,5,79.30671692,93.57944031,14.27272339,9.908803978,18.6366428,4.36391941,9.080697709,5,0,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=20,finetuned_decoder_r2_mean,5,0.9116021752,0.9070356369,-0.004566538334,-0.00795131956,-0.001181757108,0.003384781226,-3.745808712,0,5,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=20,finetuned_decoder_rmse_mean,5,71.31014557,73.14963379,1.83948822,0.4467024244,3.232274016,1.392785796,3.666922854,5,0,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=5,mean_val_zeta,5,0.3057508767,0.2327926904,-0.07295818627,-0.1212728777,-0.02464349481,0.04831469146,-4.192604631,0,5,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=5,embedding_val_zeta,5,0.4560344411,0.4525419785,-0.003492462635,-0.03855213301,0.03156720774,0.03505967038,-0.27657507,2,3,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=5,embedding_whole_val_regularization_raw,5,0.0322264,0.0070274,-0.025199,-0.02927126562,-0.02112673438,0.004072265616,-17.18051984,0,5,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=5,frozen_decoder_r2_mean,5,0.8903966069,0.8825659037,-0.007830703259,-0.0213992509,0.005737844383,0.01356854764,-1.602346714,1,4,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=5,frozen_decoder_rmse_mean,5,79.30671692,82.24646912,2.939752197,-1.880203687,7.759708081,4.819955884,1.693389067,4,1,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=5,finetuned_decoder_r2_mean,5,0.9116021752,0.9096335173,-0.00196865797,-0.005053251478,0.001115935537,0.003084593508,-1.771990628,1,4,0,0;1;2;3;4
lambda_block_cca=2,lambda_block_cca=5,finetuned_decoder_rmse_mean,5,71.31014557,72.11755066,0.8074050903,-0.4675641917,2.082374372,1.274969282,1.758250918,3,2,0,0;1;2;3;4
lambda_block_cca=20,lambda_block_cca=5,mean_val_zeta,5,0.07630797625,0.2327926904,0.1564847142,0.1322180468,0.1807513815,0.02426666735,17.90403323,5,0,0,0;1;2;3;4
lambda_block_cca=20,lambda_block_cca=5,embedding_val_zeta,5,0.3124912626,0.4525419785,0.1400507159,0.1225270585,0.1575743733,0.0175236574,22.18961007,5,0,0,0;1;2;3;4
lambda_block_cca=20,lambda_block_cca=5,embedding_whole_val_regularization_raw,5,0.0026362,0.0070274,0.0043912,0.00380728158,0.00497511842,0.0005839184203,20.87950186,5,0,0,0;1;2;3;4
lambda_block_cca=20,lambda_block_cca=5,frozen_decoder_r2_mean,5,0.8476329088,0.8825659037,0.03493299484,0.02702981104,0.04283617865,0.007903183804,12.27221142,5,0,0,0;1;2;3;4
lambda_block_cca=20,lambda_block_cca=5,frozen_decoder_rmse_mean,5,93.57944031,82.24646912,-11.33297119,-13.60578601,-9.060156372,2.27281482,-13.84423056,0,5,0,0;1;2;3;4
lambda_block_cca=20,lambda_block_cca=5,finetuned_decoder_r2_mean,5,0.9070356369,0.9096335173,0.002597880363,0.0008711412213,0.004324619506,0.001726739142,4.17716379,5,0,0,0;1;2;3;4
lambda_block_cca=20,lambda_block_cca=5,finetuned_decoder_rmse_mean,5,73.14963379,72.11755066,-1.03208313,-1.707880773,-0.3562854864,0.6757976434,-4.240207378,0,5,0,0;1;2;3;4
